n,r,p
"(:Employee {work_email: lucas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88889012,last_name: Olsen,id: 9,first_name: Lucas})",[:BELONGS_TO],"(:Employee {work_email: lucas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88889012,last_name: Olsen,id: 9,first_name: Lucas})"
"(:Employee {work_email: lucas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88889012,last_name: Olsen,id: 9,first_name: Lucas})",[:IN_PROGRESS],"(:Employee {work_email: lucas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88889012,last_name: Olsen,id: 9,first_name: Lucas})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:IS_A],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:HAS],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:OCCUPIES],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:WORKS_IN],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:BELONGS_TO],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})",[:IN_PROGRESS],"(:Employee {work_email: ida@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88880123,last_name: Thomsen,id: 10,first_name: Ida})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:IS_A],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:HAS_WORKED_ON],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:HAS],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:OCCUPIES],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:WORKS_IN],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:BELONGS_TO],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:MEASSURED_BY],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:HAS_COMPLETED],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})",[:IN_PROGRESS],"(:Employee {work_email: william@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881235,last_name: Rasmussen,id: 11,first_name: William})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:IS_A],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:HAS],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:OCCUPIES],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:WORKS_IN],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:BELONGS_TO],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})",[:IN_PROGRESS],"(:Employee {work_email: clara@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88882345,last_name: Hansen,id: 12,first_name: Clara})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:IS_A],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:HAS_WORKED_ON],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:HAS],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:OCCUPIES],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:WORKS_IN],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:BELONGS_TO],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:MEASSURED_BY],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})",[:HAS_COMPLETED],"(:Employee {work_email: Adminn@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888917,last_name: Adminn,id: 13,first_name: Adminn})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:IS_A],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:IS_MANAGER],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:HAS],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:OCCUPIES],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:WORKS_IN],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:BELONGS_TO],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})",[:IN_PROGRESS],"(:Employee {work_email: oliver.skov@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770001,last_name: Skov,id: 14,first_name: Oliver})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:IS_A],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:HAS_WORKED_ON],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:IS_MANAGER],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:HAS],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:OCCUPIES],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:WORKS_IN],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:BELONGS_TO],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:HAS_COMPLETED],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})",[:HAS_COMPLETED],"(:Employee {work_email: laura.hvid@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770002,last_name: Hvid,id: 15,first_name: Laura})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:IS_A],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:HAS],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:OCCUPIES],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:WORKS_IN],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:BELONGS_TO],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})",[:IN_PROGRESS],"(:Employee {work_email: tobias.lund@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770003,last_name: Lund,id: 16,first_name: Tobias})"
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:IS_A],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:HAS],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:OCCUPIES],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
